Episode,Reward
1,-275.0
2,-268.0
3,-363.0
4,-250.0
5,-465.0
6,-400.0
7,-293.0
8,-358.0
9,-365.0
10,-365.0
11,-278.0
12,-315.0
13,-240.0
14,-353.0
15,-473.0
16,-330.0
17,-323.0
18,-425.0
19,-305.0
20,-405.0
21,-440.0
22,-310.0
23,195.0
24,-363.0
25,-355.0
26,-353.0
27,-350.0
28,-340.0
29,-360.0
30,-315.0
31,-335.0
32,-240.0
33,-310.0
34,-323.0
35,-310.0
36,-300.0
37,-263.0
38,-270.0
39,-345.0
40,-370.0
41,-363.0
42,-385.0
43,-383.0
44,-298.0
45,-385.0
46,-305.0
47,-308.0
48,-333.0
49,-380.0
50,-340.0
