Episode,Reward
1,-313.0
2,-353.0
3,-325.0
4,-283.0
5,-408.0
6,-288.0
7,-303.0
8,-395.0
9,-313.0
10,-253.0
11,-370.0
12,-380.0
13,-365.0
14,-95.0
15,-263.0
16,-435.0
17,-380.0
18,-295.0
19,-325.0
20,-258.0
21,-300.0
22,-363.0
23,-273.0
24,-420.0
25,-373.0
26,-390.0
27,-223.0
28,-340.0
29,-368.0
30,-350.0
31,-555.0
32,-390.0
33,-310.0
34,-398.0
35,-355.0
36,-440.0
37,-213.0
38,-343.0
39,-268.0
40,-325.0
41,-375.0
42,-300.0
43,-295.0
44,-238.0
45,-398.0
46,-245.0
47,-425.0
48,-370.0
49,-293.0
50,-350.0
